Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,EFF
Cliff Barker,SG,29,INO,49.0,0,0,2.1,5.6,.372,0,0,0,2.1,5.6,.372,.372,1.5,2.2,.708,0,0,0.0,2.2,0.0,0.0,0.0,2.0,5.7,0.0755
Leo Barnhorst,SF,25,CHS,67.0,0,0,2.6,7.4,.349,0,0,0,2.6,7.4,.349,.349,1.3,1.9,.698,0,0,0.0,2.1,0.0,0.0,0.0,2.9,6.5,0.04782
Nelson Bobb,PG,25,PHW,57.0,0,0,1.4,4.4,.323,0,0,0,1.4,4.4,.323,.323,1.4,2.3,.626,0,0,0.0,0.8,0.0,0.0,0.0,1.7,4.2,0.01933
Vince Boryla,SF,22,NYK,59.0,0,0,3.5,10.2,.340,0,0,0,3.5,10.2,.340,.340,3.5,4.5,.764,0,0,0.0,1.6,0.0,0.0,0.0,3.4,10.4,0.0728
Harry Boykoff,C,27,WAT,61.0,0,0,4.7,11.4,.413,0,0,0,4.7,11.4,.413,.413,3.3,4.3,.775,0,0,0.0,2.4,0.0,0.0,0.0,3.8,12.8,0.1229
Bob Brannum,PF,23,SHE,59.0,0,0,4.0,12.2,.326,0,0,0,4.0,12.2,.326,.326,4.2,6.0,.690,0,0,0.0,3.5,0.0,0.0,0.0,4.7,12.1,0.09485
Jim Browne,C,20,DNN,31.0,0,0,0.5,1.5,.354,0,0,0,0.5,1.5,.354,.354,0.4,0.9,.481,0,0,0.0,0.3,0.0,0.0,0.0,0.5,1.5,0.009674
Walt Budko,PF,24,BLB,66.0,0,0,3.0,9.9,.304,0,0,0,3.0,9.9,.304,.304,3.0,4.0,.757,0,0,0.0,2.2,0.0,0.0,0.0,3.9,9.0,0.05008
Bill Calhoun,SG,22,ROC,62.0,0,0,3.3,8.9,.377,0,0,0,3.3,8.9,.377,.377,2.4,3.3,.719,0,0,0.0,1.9,0.0,0.0,0.0,1.6,9.0,0.0709
Al Cervi*,PG,32,SYR,56.0,0,0,2.6,7.7,.332,0,0,0,2.6,7.7,.332,.332,5.1,6.2,.829,0,0,0.0,4.7,0.0,0.0,0.0,4.0,10.2,0.1554
Bill Closs,SF,28,AND,64.0,0,0,4.4,14.0,.315,0,0,0,4.4,14.0,.315,.315,2.9,4.0,.718,0,0,0.0,2.5,0.0,0.0,0.0,3.0,11.8,0.05618
Jack Coleman,PF,25,ROC,68.0,0,0,3.7,9.8,.377,0,0,0,3.7,9.8,.377,.377,1.3,1.8,.744,0,0,0.0,2.3,0.0,0.0,0.0,3.3,8.7,0.06476
Dillard Crocker,PF,25,DNN,53.0,0,0,4.6,15.8,.292,0,0,0,4.6,15.8,.292,.292,4.4,6.0,.735,0,0,0.0,1.6,0.0,0.0,0.0,4.2,13.6,0.0454
Bob Davies*,PG,30,ROC,64.0,0,0,5.0,13.9,.357,0,0,0,5.0,13.9,.357,.357,4.1,5.4,.752,0,0,0.0,4.6,0.0,0.0,0.0,2.9,14.0,0.1312
Dike Eddleman,SF,27,TRI,64.0,0,0,5.2,14.2,.366,0,0,0,5.2,14.2,.366,.366,2.5,4.1,.623,0,0,0.0,2.2,0.0,0.0,0.0,4.0,12.9,0.0702
Jerry Fleishman,SG,27,PHW,65.0,0,0,1.6,5.4,.289,0,0,0,1.6,5.4,.289,.289,1.4,2.3,.616,0,0,0.0,1.8,0.0,0.0,0.0,2.0,4.6,0.0262
Joe Fulks*,PF,28,PHW,68.0,0,0,4.9,17.8,.278,0,0,0,4.9,17.8,.278,.278,4.3,6.2,.696,0,0,0.0,0.8,0.0,0.0,0.0,3.5,14.2,0.002987
Bill Gabor,SG,27,SYR,56.0,0,0,4.0,12.0,.337,0,0,0,4.0,12.0,.337,.337,2.8,4.1,.689,0,0,0.0,1.9,0.0,0.0,0.0,3.5,10.9,0.06244
Vern Gardner,SG,24,PHW,63.0,0,0,5.0,14.5,.342,0,0,0,5.0,14.5,.342,.342,3.6,4.7,.767,0,0,0.0,1.9,0.0,0.0,0.0,3.7,13.5,0.0761
Alex Groza,C,23,INO,64.0,0,0,8.1,17.0,.478,0,0,0,8.1,17.0,.478,.478,7.1,9.7,.729,0,0,0.0,2.5,0.0,0.0,0.0,3.5,23.4,0.225
Robert Hahn,C,24,CHS,10.0,0,0,0.4,1.3,.308,0,0,0,0.4,1.3,.308,.308,0.2,0.7,.286,0,0,0.0,0.1,0.0,0.0,0.0,1.7,1.0,0.0
Chick Halbert,C,30,WSC,68.0,0,0,1.6,4.2,.380,0,0,0,1.6,4.2,.380,.380,1.6,2.6,.640,0,0,0.0,1.3,0.0,0.0,0.0,2.0,4.8,0.0368
Alex Hannum*,PF,26,SYR,64.0,0,0,2.8,7.6,.363,0,0,0,2.8,7.6,.363,.363,2.0,2.9,.688,0,0,0.0,2.0,0.0,0.0,0.0,4.1,7.5,0.05936
Bill Henry,C,25,TOT,63.0,0,0,1.4,4.4,.320,0,0,0,1.4,4.4,.320,.320,1.9,2.8,.670,0,0,0.0,0.8,0.0,0.0,0.0,1.9,4.7,0.02542
Bill Henry,C,25,FTW,44.0,0,0,1.5,4.8,.311,0,0,0,1.5,4.8,.311,.311,1.9,2.8,.672,0,0,0.0,0.9,0.0,0.0,0.0,2.3,4.9,0.03625
Bill Henry,C,25,TRI,19.0,0,0,1.3,3.6,.348,0,0,0,1.3,3.6,.348,.348,1.8,2.7,.667,0,0,0.0,0.5,0.0,0.0,0.0,1.2,4.3,0.0
Joe Holland,SF,24,INO,64.0,0,0,2.3,7.1,.320,0,0,0,2.3,7.1,.320,.320,1.5,2.2,.690,0,0,0.0,2.0,0.0,0.0,0.0,3.4,6.1,0.04065
Red Holzman*,PG,29,ROC,68.0,0,0,3.0,9.2,.330,0,0,0,3.0,9.2,.330,.330,2.1,3.1,.686,0,0,0.0,2.9,0.0,0.0,0.0,1.0,8.2,0.05734
Arnie Johnson,SF,29,ROC,68.0,0,0,2.2,5.5,.396,0,0,0,2.2,5.5,.396,.396,2.9,4.3,.680,0,0,0.0,2.1,0.0,0.0,0.0,3.8,7.3,0.06903
Ralph Johnson,PG,28,TOT,67.0,0,0,3.6,11.6,.312,0,0,0,3.6,11.6,.312,.312,1.6,1.9,.806,0,0,0.0,2.6,0.0,0.0,0.0,3.1,8.8,0.04623
Ralph Johnson,PG,28,AND,35.0,0,0,3.8,12.2,.312,0,0,0,3.8,12.2,.312,.312,2.0,2.4,.855,0,0,0.0,3.0,0.0,0.0,0.0,3.2,9.6,0.1084
Ralph Johnson,PG,28,FTW,32.0,0,0,3.4,11.0,.312,0,0,0,3.4,11.0,.312,.312,1.0,1.4,.717,0,0,0.0,2.1,0.0,0.0,0.0,3.0,7.9,0.06244
Wah Wah Jones,PF,23,INO,60.0,0,0,4.4,11.8,.374,0,0,0,4.4,11.8,.374,.374,3.7,5.0,.751,0,0,0.0,3.2,0.0,0.0,0.0,4.0,12.5,0.11676
Noble Jorgensen,C,24,SHE,54.0,0,0,4.0,11.4,.353,0,0,0,4.0,11.4,.353,.353,5.0,6.5,.766,0,0,0.0,1.7,0.0,0.0,0.0,3.7,13.0,0.1075
George Kaftan,SF,21,BOS,55.0,0,0,3.6,9.7,.372,0,0,0,3.6,9.7,.372,.372,2.5,3.8,.654,0,0,0.0,2.6,0.0,0.0,0.0,1.7,9.7,0.0891
Jack Kerris,PF,25,TOT,68.0,0,0,2.3,7.1,.326,0,0,0,2.3,7.1,.326,.326,2.5,3.8,.650,0,0,0.0,1.7,0.0,0.0,0.0,2.6,7.1,0.03976
Jack Kerris,PF,25,TRI,4.0,0,0,2.0,6.5,.308,0,0,0,2.0,6.5,.308,.308,2.5,3.0,.833,0,0,0.0,2.0,0.0,0.0,0.0,3.3,6.5,0.0
Jack Kerris,PF,25,FTW,64.0,0,0,2.3,7.1,.327,0,0,0,2.3,7.1,.327,.327,2.5,3.9,.641,0,0,0.0,1.7,0.0,0.0,0.0,2.5,7.1,0.04068
Walt Kirk,PG,25,TOT,58.0,0,0,1.7,6.2,.269,0,0,0,1.7,6.2,.269,.269,2.7,3.7,.718,0,0,0.0,1.8,0.0,0.0,0.0,2.7,6.0,0.03967
Walt Kirk,PG,25,AND,26.0,0,0,1.2,4.8,.248,0,0,0,1.2,4.8,.248,.248,2.2,3.2,.687,0,0,0.0,1.7,0.0,0.0,0.0,2.4,4.6,0.0
Walt Kirk,PG,25,TRI,32.0,0,0,2.1,7.4,.280,0,0,0,2.1,7.4,.280,.280,3.1,4.2,.737,0,0,0.0,1.9,0.0,0.0,0.0,2.9,7.2,0.08453
Lee Knorek,C,28,BLB,1.0,0,0,0.0,2.0,.000,0,0,0,0.0,2.0,.000,.000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
